workload,run_num,cores_per_run,core_offset,warmup_instrs,roi_instrs,simtime
arizona,0,1,0,50000000,500000000,7444
arizona,1,1,1,50000000,500000000,7629
arizona,2,1,2,50000000,500000000,6660
arizona,3,1,3,50000000,500000000,8156
arizona,4,1,4,50000000,500000000,6119
arizona,5,1,5,50000000,500000000,7758
bravo.a,0,1,0,50000000,500000000,18234
bravo.a,1,1,1,50000000,500000000,21383
bravo.a,2,1,2,50000000,500000000,16354
charlie,0,1,0,50000000,500000000,9074
charlie,1,1,1,50000000,500000000,11853
charlie,2,1,2,50000000,500000000,12586
charlie,3,1,3,50000000,500000000,10373
charlie,4,1,4,50000000,500000000,12244
charlie,5,1,5,50000000,500000000,9441
charlie,6,1,6,50000000,500000000,14523
charlie,7,1,7,50000000,500000000,10934
charlie,8,1,8,50000000,500000000,12092
charlie,9,1,9,50000000,500000000,12633
charlie,10,1,10,50000000,500000000,12555
charlie,11,1,11,50000000,500000000,11518
charlie,12,1,12,50000000,500000000,12852
charlie,13,1,13,50000000,500000000,11832
charlie,14,1,14,50000000,500000000,10541
charlie,15,1,15,50000000,500000000,15662
charlie,16,1,16,50000000,500000000,13295
charlie,17,1,17,50000000,500000000,11236
charlie,18,1,18,50000000,500000000,11789
charlie,19,1,19,50000000,500000000,12055
charlie,20,1,20,50000000,500000000,12797
charlie,21,1,21,50000000,500000000,13240
delta,0,1,0,50000000,500000000,14959
delta,1,1,1,50000000,500000000,15298
delta,2,1,2,50000000,500000000,14845
delta,3,1,3,50000000,500000000,14007
merced,0,1,0,50000000,500000000,11650
merced,1,1,1,50000000,500000000,12711
merced,2,1,2,50000000,500000000,12117
merced,3,1,3,50000000,500000000,12562
merced,4,1,4,50000000,500000000,11665
merced,5,1,5,50000000,500000000,11969
merced,6,1,6,50000000,500000000,11579
merced,7,1,7,50000000,500000000,11755
merced,8,1,8,50000000,500000000,12499
merced,9,1,9,50000000,500000000,12167
merced,10,1,10,50000000,500000000,12044
merced,11,1,11,50000000,500000000,12776
merced,12,1,12,50000000,500000000,11917
merced,13,1,13,50000000,500000000,11760
merced,14,1,14,50000000,500000000,11388
merced,15,1,15,50000000,500000000,12971
merced,16,1,16,50000000,500000000,11915
merced,17,1,17,50000000,500000000,11451
merced,18,1,18,50000000,500000000,13666
merced,19,1,19,50000000,500000000,12789
merced,20,1,20,50000000,500000000,15771
merced,21,1,21,50000000,500000000,12688
merced,22,1,22,50000000,500000000,11509
merced,23,1,23,50000000,500000000,11705
merced,24,1,24,50000000,500000000,11967
merced,25,1,25,50000000,500000000,11368
merced,26,1,26,50000000,500000000,11221
merced,27,1,27,50000000,500000000,11248
merced,28,1,28,50000000,500000000,11790
merced,29,1,29,50000000,500000000,11810
merced,30,1,30,50000000,500000000,12289
merced,31,1,31,50000000,500000000,12080
merced,32,1,32,50000000,500000000,11703
merced,33,1,33,50000000,500000000,11636
merced,34,1,34,50000000,500000000,12047
merced,35,1,35,50000000,500000000,11514
merced,36,1,36,50000000,500000000,11780
merced,37,1,37,50000000,500000000,11991
merced,38,1,38,50000000,500000000,11705
merced,39,1,39,50000000,500000000,12745
merced,40,1,40,50000000,500000000,11401
merced,41,1,41,50000000,500000000,11708
merced,42,1,42,50000000,500000000,11651
merced,43,1,43,50000000,500000000,12138
merced,44,1,44,50000000,500000000,11265
merced,45,1,45,50000000,500000000,12358
merced,46,1,46,50000000,500000000,12262
merced,47,1,47,50000000,500000000,11883
merced,48,1,48,50000000,500000000,11660
merced,49,1,49,50000000,500000000,12039
merced,50,1,50,50000000,500000000,11862
merced,51,1,51,50000000,500000000,11864
merced,52,1,52,50000000,500000000,15119
merced,53,1,53,50000000,500000000,11143
merced,54,1,54,50000000,500000000,12203
merced,55,1,55,50000000,500000000,11944
merced,56,1,56,50000000,500000000,11658
merced,57,1,57,50000000,500000000,11204
merced,58,1,58,50000000,500000000,12364
merced,59,1,59,50000000,500000000,12923
merced,60,1,60,50000000,500000000,11580
merced,61,1,61,50000000,500000000,12780
merced,62,1,62,50000000,500000000,11871
merced,63,1,63,50000000,500000000,11622
merced,64,1,64,50000000,500000000,12050
merced,65,1,65,50000000,500000000,11852
merced,66,1,66,50000000,500000000,11526
merced,67,1,67,50000000,500000000,11854
merced,68,1,68,50000000,500000000,11764
merced,69,1,69,50000000,500000000,11618
merced,70,1,70,50000000,500000000,12616
merced,71,1,71,50000000,500000000,13859
merced,72,1,72,50000000,500000000,11730
merced,73,1,73,50000000,500000000,11511
merced,74,1,74,50000000,500000000,11928
merced,75,1,75,50000000,500000000,12084
merced,76,1,76,50000000,500000000,12365
merced,77,1,77,50000000,500000000,12169
merced,78,1,78,50000000,500000000,12254
merced,79,1,79,50000000,500000000,11498
merced,80,1,80,50000000,500000000,12659
merced,81,1,81,50000000,500000000,11692
merced,82,1,82,50000000,500000000,11865
merced,83,1,83,50000000,500000000,12688
merced,84,1,84,50000000,500000000,11900
merced,85,1,85,50000000,500000000,11790
merced,86,1,86,50000000,500000000,11758
merced,87,1,87,50000000,500000000,12503
merced,88,1,88,50000000,500000000,11901
sierra.a.3,0,1,0,50000000,500000000,14638
sierra.a.3,1,1,1,50000000,500000000,13362
sierra.a.3,2,1,2,50000000,500000000,14031
sierra.a.3,3,1,3,50000000,500000000,14244
sierra.a.3,4,1,4,50000000,500000000,14112
sierra.a.3,5,1,5,50000000,500000000,13214
sierra.a.3,6,1,6,50000000,500000000,13549
sierra.a.3,7,1,7,50000000,500000000,13897
sierra.a.3,8,1,8,50000000,500000000,14704
sierra.a.3,9,1,9,50000000,500000000,12848
sierra.a.3,10,1,10,50000000,500000000,13539
sierra.a.3,11,1,11,50000000,500000000,13321
sierra.a.3,12,1,12,50000000,500000000,16305
sierra.a.3,13,1,13,50000000,500000000,13006
sierra.a.3,14,1,14,50000000,500000000,12882
sierra.a.3,15,1,15,50000000,500000000,13663
sierra.a.3,16,1,16,50000000,500000000,13453
sierra.a.4,0,1,0,50000000,500000000,16632
sierra.a.4,1,1,1,50000000,500000000,17858
sierra.a.4,2,1,2,50000000,500000000,17494
sierra.a.4,3,1,3,50000000,500000000,16843
sierra.a.4,4,1,4,50000000,500000000,17027
sierra.a.4,5,1,5,50000000,500000000,17647
sierra.a.4,6,1,6,50000000,500000000,17769
sierra.a.4,7,1,7,50000000,500000000,17281
sierra.a.4,8,1,8,50000000,500000000,17864
sierra.a.4,9,1,9,50000000,500000000,15408
sierra.a.4,10,1,10,50000000,500000000,18573
sierra.a.4,11,1,11,50000000,500000000,18106
sierra.a.4,12,1,12,50000000,500000000,17875
sierra.a.4,13,1,13,50000000,500000000,20614
sierra.a.4,14,1,14,50000000,500000000,17845
sierra.a.4,15,1,15,50000000,500000000,17736
sierra.a.4,16,1,16,50000000,500000000,18538
sierra.a.4,17,1,17,50000000,500000000,18371
sierra.a.4,18,1,18,50000000,500000000,16572
sierra.a.4,19,1,19,50000000,500000000,16553
sierra.a.4,20,1,20,50000000,500000000,18138
sierra.a.4,21,1,21,50000000,500000000,17554
sierra.a.4,22,1,22,50000000,500000000,17595
sierra.a.4,23,1,23,50000000,500000000,17910
sierra.a.6,0,1,0,50000000,500000000,14426
